"id","car_model_id","car_generation_id","name","created_at","updated_at"
"1456","1084",NULL,"5EXi",NULL,NULL
"1457","1085",NULL,"Sportster",NULL,NULL
"1458","1086",NULL,"B1",NULL,NULL
"1459","1087",NULL,"B2",NULL,NULL
"1460","1088",NULL,"1000",NULL,NULL
"1465","1092",NULL,"Esteem",NULL,NULL
"1468","1094",NULL,"Omni",NULL,NULL
"1469","1095",NULL,"Versa",NULL,NULL
"1477","1102",NULL,"Barchetta Stradale",NULL,NULL
"1481","1104",NULL,"Bora",NULL,NULL
"1482","1105",NULL,"Chubasco",NULL,NULL
"1486","1108",NULL,"Indy",NULL,NULL
"1487","1109",NULL,"Karif",NULL,NULL
"1488","1110",NULL,"Khamsin",NULL,NULL
"1489","1111",NULL,"Kyalami",NULL,NULL
"1490","1112",NULL,"MC12",NULL,NULL
"1491","1113",NULL,"Merak",NULL,NULL
"1492","1114",NULL,"Mexico",NULL,NULL
"1524","1134",NULL,"AZ-1",NULL,NULL
"1525","1135",NULL,"AZ-Offroad",NULL,NULL
"1526","1136",NULL,"AZ-Wagon",NULL,NULL
"1530","1138",NULL,"Biante",NULL,NULL
"1531","1139",NULL,"Bongo Friendee",NULL,NULL
"1533","1141",NULL,"BT-50",NULL,NULL
"1537","1144",NULL,"Cronos",NULL,NULL
"1538","1145",NULL,"CX-5",NULL,NULL
"1539","1146",NULL,"CX-7",NULL,NULL
"1542","1149",NULL,"Efini MS-6",NULL,NULL
"1544","1151",NULL,"Efini MS-9",NULL,NULL
"1545","1152",NULL,"Eunos 300",NULL,NULL
"1546","1153",NULL,"Eunos 500",NULL,NULL
"1547","1154",NULL,"Eunos 800",NULL,NULL
"1548","1155",NULL,"Eunos Cosmo",NULL,NULL
"1556","1162",NULL,"MX-3",NULL,NULL
"1558","1164",NULL,"MX-6",NULL,NULL
"1559","1165",NULL,"Navajo",NULL,NULL
"1560","1166",NULL,"Persona",NULL,NULL
"1564","1169",NULL,"Proceed Marvie",NULL,NULL
"1567","1171",NULL,"Revue",NULL,NULL
"1570","1174",NULL,"RX-8",NULL,NULL
"1571","1175",NULL,"Scrum",NULL,NULL
"1573","1177",NULL,"Spiano",NULL,NULL
"1575","1179",NULL,"Verisa",NULL,NULL
"1579","1182",NULL,"P1",NULL,NULL
"1580","1183",NULL,"Club",NULL,NULL
"1581","1184",NULL,"Monte Carlo",NULL,NULL
"1582","1185",NULL,"Track",NULL,NULL
"1583","1186",NULL,"190 (W201)",NULL,NULL
"1616","1209",NULL,"Vaneo",NULL,NULL
"1620","1212",NULL,"W115",NULL,NULL
"1628","1215",NULL,"Capri",NULL,NULL
"1636","1221",NULL,"Milan",NULL,NULL
"1637","1222",NULL,"Montego",NULL,NULL
"1638","1223",NULL,"Monterey",NULL,NULL
"1640","1225",NULL,"Mystique",NULL,NULL
"1647","1230",NULL,"Metrocab I",NULL,NULL
"1648","1231",NULL,"Metrocab II (TTT)",NULL,NULL
"1649","1232",NULL,"3",NULL,NULL
"1650","1233",NULL,"350",NULL,NULL
"1651","1234",NULL,"5",NULL,NULL
"1652","1235",NULL,"550",NULL,NULL
"1655","1237",NULL,"F",NULL,NULL
"1656","1238",NULL,"Maestro",NULL,NULL
"1660","1241",NULL,"Midget",NULL,NULL
"1661","1242",NULL,"Montego",NULL,NULL
"1662","1243",NULL,"RV8",NULL,NULL
"1675","1251",NULL,"M8",NULL,NULL
"1676","1252",NULL,"MC",NULL,NULL
"1677","1253",NULL,"Virgo",NULL,NULL
"1678","1254",NULL,"TF 1800",NULL,NULL
"1712","1272",NULL,"Cordia",NULL,NULL
"1713","1273",NULL,"Debonair",NULL,NULL
"1716","1276",NULL,"Dingo",NULL,NULL
"1722","1281",NULL,"Endeavor",NULL,NULL
"1724","1283",NULL,"FTO",NULL,NULL
"1726","1285",NULL,"Grandis",NULL,NULL
"1727","1286",NULL,"GTO",NULL,NULL
"1728","1287",NULL,"i",NULL,NULL
"1729","1288",NULL,"i-MiEV",NULL,NULL
"1730","1289",NULL,"Jeep",NULL,NULL
"1734","1291",NULL,"Lancer Cargo",NULL,NULL
"1738","1294",NULL,"Legnum",NULL,NULL
"1739","1295",NULL,"Libero",NULL,NULL
"1752","1303",NULL,"Pajero Junior",NULL,NULL
"1757","1307",NULL,"Pistachio",NULL,NULL
"1758","1308",NULL,"Proudia",NULL,NULL
"1759","1309",NULL,"Raider",NULL,NULL
"1764","1313",NULL,"Space Gear",NULL,NULL
"1766","1315",NULL,"Space Star",NULL,NULL
"1768","1317",NULL,"Starion",NULL,NULL
"1770","1319",NULL,"Town Box",NULL,NULL
"1771","1320",NULL,"Tredia",NULL,NULL
"1772","1321",NULL,"Galue 204",NULL,NULL
"1787","1333",NULL,"Yuga",NULL,NULL
"1788","1334",NULL,"Zero 1",NULL,NULL
"1789","1335",NULL,"3 Wheeler",NULL,NULL
"1790","1336",NULL,"4 Seater",NULL,NULL
"1795","1341",NULL,"AeroMax",NULL,NULL
"1796","1342",NULL,"Plus 4",NULL,NULL
"1798","1344",NULL,"Roadster",NULL,NULL
"1802","1346",NULL,"100NX",NULL,NULL
"1803","1347",NULL,"180SX",NULL,NULL
"1805","1349",NULL,"240SX",NULL,NULL
"1813","1355",NULL,"Almera Classic",NULL,NULL
"1815","1357",NULL,"Almera Tino",NULL,NULL
"1817","1359",NULL,"Armada",NULL,NULL
"1819","1361",NULL,"Bassara",NULL,NULL
"1820","1362",NULL,"BE-1",NULL,NULL
"1827","1369",NULL,"Clipper",NULL,NULL
"1828","1370",NULL,"Crew",NULL,NULL
"1830","1372",NULL,"Datsun",NULL,NULL
"1831","1373",NULL,"Dualis",NULL,NULL
"1833","1375",NULL,"Expert",NULL,NULL
"1836","1377",NULL,"Figaro",NULL,NULL
"1839","1380",NULL,"GT-R",NULL,NULL
"1841","1382",NULL,"Lafesta",NULL,NULL
"1843","1384",NULL,"Largo",NULL,NULL
"1845","1386",NULL,"Leaf",NULL,NULL
"1847","1388",NULL,"Liberty",NULL,NULL
"1848","1389",NULL,"Lucino",NULL,NULL
"1867","1402",NULL,"Pao",NULL,NULL
"1870","1405",NULL,"Pino",NULL,NULL
"1871","1406",NULL,"M12 GTO",NULL,NULL
"1872","1407",NULL,"M600",NULL,NULL
"1879","1412",NULL,"Cutlass",NULL,NULL
"1889","1417",NULL,"Intrigue",NULL,NULL
"1891","1419",NULL,"Omega",NULL,NULL
"1893","1421",NULL,"Adam",NULL,NULL
"1896","1424",NULL,"Ampera",NULL,NULL
"1905","1428",NULL,"Calibra",NULL,NULL
