"id","car_brand_id","name","created_at","updated_at"
"266","35","C-10",NULL,NULL
"267","35","Camaro",NULL,NULL
"268","35","Caprice",NULL,NULL
"269","35","Captiva",NULL,NULL
"270","35","Cavalier",NULL,NULL
"271","35","Celebrity",NULL,NULL
"272","35","Celta",NULL,NULL
"273","35","Chevette",NULL,NULL
"274","35","Citation",NULL,NULL
"275","35","Classic",NULL,NULL
"276","35","Cobalt",NULL,NULL
"277","35","Colorado",NULL,NULL
"278","35","Corsa",NULL,NULL
"279","35","Corsica",NULL,NULL
"280","35","Corvette",NULL,NULL
"281","35","Cruze (HR)",NULL,NULL
"282","35","Cruze",NULL,NULL
"283","35","Epica",NULL,NULL
"284","35","Equinox",NULL,NULL
"285","35","Evanda",NULL,NULL
"286","35","Express",NULL,NULL
"287","35","HHR",NULL,NULL
"288","35","Impala",NULL,NULL
"289","35","Kalos",NULL,NULL
"290","35","Lacetti",NULL,NULL
"291","35","Lanos",NULL,NULL
"292","35","Lumina",NULL,NULL
"293","35","Lumina APV",NULL,NULL
"294","35","LUV D-MAX",NULL,NULL
"295","35","Malibu",NULL,NULL
"296","35","Metro",NULL,NULL
"297","35","Monte Carlo",NULL,NULL
"298","35","Monza",NULL,NULL
"299","35","MW",NULL,NULL
"300","35","Niva",NULL,NULL
"301","35","Nubira",NULL,NULL
"302","35","Omega",NULL,NULL
"303","35","Orlando",NULL,NULL
"304","35","Prizm",NULL,NULL
"305","35","Rezzo",NULL,NULL
"306","35","S-10 Pickup",NULL,NULL
"307","35","Sail",NULL,NULL
"308","35","Sonic",NULL,NULL
"309","35","Spark",NULL,NULL
"310","35","SSR",NULL,NULL
"311","35","Starcraft",NULL,NULL
"312","35","Suburban",NULL,NULL
"313","35","Tahoe",NULL,NULL
"314","35","Tavera",NULL,NULL
"315","35","Tracker",NULL,NULL
"316","35","TrailBlazer",NULL,NULL
"317","35","Trans Sport",NULL,NULL
"318","36","200",NULL,NULL
"319","36","300C",NULL,NULL
"320","36","300M",NULL,NULL
"321","36","Aspen",NULL,NULL
"322","36","Cirrus",NULL,NULL
"323","36","Concorde",NULL,NULL
"324","36","Crossfire",NULL,NULL
"325","36","Dynasty",NULL,NULL
"326","36","Fifth Avenue",NULL,NULL
"327","36","Imperial",NULL,NULL
"328","36","Intrepid",NULL,NULL
"329","36","Le Baron",NULL,NULL
"330","36","LHS",NULL,NULL
"331","36","Nassau",NULL,NULL
"332","36","Neon",NULL,NULL
"333","36","NEW Yorker",NULL,NULL
"334","36","Pacifica",NULL,NULL
"335","36","Prowler",NULL,NULL
"336","36","PT Cruiser",NULL,NULL
"337","36","Saratoga",NULL,NULL
"338","36","Sebring",NULL,NULL
"339","36","Stratus",NULL,NULL
"340","36","TC by Maserati",NULL,NULL
"341","36","Town & Country",NULL,NULL
"342","36","Viper",NULL,NULL
"343","36","Vision",NULL,NULL
"344","36","Voyager",NULL,NULL
"345","37","2 CV",NULL,NULL
"346","37","AMI",NULL,NULL
"347","37","Ax",NULL,NULL
"348","37","Berlingo",NULL,NULL
"349","37","BX",NULL,NULL
"350","37","C-Crosser",NULL,NULL
"351","37","C-Elysee",NULL,NULL
"352","37","C1",NULL,NULL
"353","37","C2",NULL,NULL
"354","37","C3",NULL,NULL
"355","37","C3 Picasso",NULL,NULL
"356","37","C4 Aircross",NULL,NULL
"357","37","C4 Cactus",NULL,NULL
"358","37","C4",NULL,NULL
"359","37","C4 Picasso",NULL,NULL
"360","37","C5",NULL,NULL
"361","37","C6",NULL,NULL
"362","37","C8",NULL,NULL
"363","37","CX",NULL,NULL
"364","37","DS3",NULL,NULL
"365","37","DS4",NULL,NULL
"366","37","DS5",NULL,NULL
"367","37","Dyane",NULL,NULL
"368","37","Evasion",NULL,NULL
"369","37","GS",NULL,NULL
"370","37","LNA",NULL,NULL
"371","37","Saxo",NULL,NULL
"372","37","Visa",NULL,NULL
"373","37","Xantia",NULL,NULL
"374","37","XM",NULL,NULL
"375","37","Xsara",NULL,NULL
"376","37","Xsara Picasso",NULL,NULL
"377","37","ZX",NULL,NULL
"378","38","V16t",NULL,NULL
"379","39","T Rex",NULL,NULL
"380","40","1300",NULL,NULL
"381","40","1310",NULL,NULL
"382","40","1410",NULL,NULL
"383","40","Dokker",NULL,NULL
"384","40","Duster",NULL,NULL
"385","40","Lodgy",NULL,NULL
"386","40","Logan",NULL,NULL
"387","40","Nova",NULL,NULL
"388","40","Sandero",NULL,NULL
"389","40","Solenza",NULL,NULL
"390","41","City Leading",NULL,NULL
"391","41","Shuttle",NULL,NULL
"392","41","Smoothing",NULL,NULL
"393","42","Arcadia",NULL,NULL
"394","42","Chairman",NULL,NULL
"395","42","Damas",NULL,NULL
"396","42","Espero",NULL,NULL
"397","42","Evanda",NULL,NULL
"398","42","G2X",NULL,NULL
"399","42","Gentra",NULL,NULL
"400","42","Kalos",NULL,NULL
"401","42","Korando",NULL,NULL
"402","42","Lacetti",NULL,NULL
"403","42","Lanos (Sens)",NULL,NULL
"404","42","LE Mans",NULL,NULL
"405","42","Leganza",NULL,NULL
"406","42","Magnus",NULL,NULL
"407","42","Matiz",NULL,NULL
"408","42","Musso",NULL,NULL
"409","42","Nexia",NULL,NULL
"410","42","Nubira",NULL,NULL
"411","42","Prince",NULL,NULL
"412","42","Racer",NULL,NULL
"413","42","Rezzo",NULL,NULL
